Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
58,Devin Booker,SG,PHO,9.3,19.2,4.2,4.3,0.8,0.2,3.1,25.6
59,Chris Boucher,C,TOR,4.8,9.3,6.7,1.1,0.6,1.9,0.8,13.6
60,Brian Bowen,SF,IND,0.2,0.7,0.5,0.0,0.0,0.0,0.0,0.5
61,Avery Bradley,SG,MIA,3.1,6.6,1.8,1.4,0.7,0.1,0.9,8.5
61,Avery Bradley,SG,HOU,1.9,6.2,2.3,1.9,0.8,0.1,1.1,5.2
62,Tony Bradley,C,PHI,2.6,3.8,5.2,0.9,0.3,0.7,0.3,5.5
62,Tony Bradley,C,OKC,3.6,5.5,6.1,0.9,0.4,0.8,1.2,8.7
63,Jarrell Brantley,PF,UTA,0.9,1.9,1.0,0.5,0.3,0.1,0.3,2.3
64,Ignas Brazdeikis,SF,NYK,0.0,0.3,0.5,0.3,0.0,0.0,0.3,0.5
64,Ignas Brazdeikis,SF,PHI,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
64,Ignas Brazdeikis,SF,ORL,4.4,9.9,5.1,2.0,0.5,0.4,1.4,11.1
65,Mikal Bridges,SF,PHO,5.0,9.3,4.3,2.1,1.1,0.9,0.8,13.5
66,Miles Bridges,PF,CHO,4.7,9.4,6.0,2.2,0.7,0.8,1.6,12.7
67,Amida Brimah,C,IND,1.0,1.6,1.6,0.2,0.0,1.0,0.8,2.6
68,Oshae Brissett,SF,IND,3.5,7.2,5.5,0.9,0.9,1.0,0.5,10.9
69,Malcolm Brogdon,PG,IND,7.9,17.5,5.3,5.9,0.9,0.3,2.1,21.2
70,Armoni Brooks,SG,HOU,3.9,9.6,3.4,1.5,0.6,0.3,1.1,11.2
71,Dillon Brooks,SF,MEM,6.4,15.4,2.9,2.3,1.2,0.4,1.8,17.2
72,Bruce Brown,PG,BRK,3.6,6.5,5.4,1.6,0.9,0.4,0.8,8.8
73,Charlie Brown,SG,OKC,1.4,4.8,1.9,1.0,0.4,0.2,0.7,4.4
74,Jaylen Brown,SG,BOS,9.3,19.2,6.0,3.4,1.2,0.6,2.7,24.7
75,Moses Brown,C,OKC,3.4,6.2,8.9,0.2,0.7,1.1,1.0,8.6
76,Sterling Brown,SG,HOU,2.9,6.6,4.4,1.4,0.7,0.2,0.8,8.2
77,Troy Brown Jr.,SF,WAS,1.6,4.2,2.9,0.9,0.1,0.2,0.8,4.3
77,Troy Brown Jr.,SF,CHI,2.2,4.2,3.4,0.8,0.5,0.2,0.4,5.5
78,Jalen Brunson,PG,DAL,4.8,9.2,3.4,3.5,0.5,0.0,1.2,12.6
79,Elijah Bryant,SG,MIL,6.0,13.0,6.0,3.0,0.0,1.0,4.0,16.0
80,Thomas Bryant,C,WAS,5.9,9.1,6.1,1.5,0.4,0.8,1.1,14.3
81,Reggie Bullock,SF,NYK,3.8,8.6,3.4,1.5,0.8,0.2,0.7,10.9
82,Trey Burke,PG,DAL,2.4,5.7,0.9,1.3,0.6,0.1,0.5,6.6
83,Alec Burks,SG,NYK,4.3,10.2,4.6,2.2,0.6,0.3,1.0,12.7
84,Jimmy Butler,SF,MIA,7.0,14.2,6.9,7.1,2.1,0.3,2.1,21.5
85,Bruno Caboclo,PF,HOU,1.3,2.8,2.3,0.2,0.0,0.3,0.7,2.8
86,Devontae Cacok,PF,LAL,0.9,1.5,1.6,0.1,0.3,0.2,0.3,2.0
87,Kentavious Caldwell-Pope,SG,LAL,3.3,7.6,2.7,1.9,0.9,0.4,1.0,9.7
88,Facundo Campazzo,PG,DEN,1.8,4.8,2.1,3.6,1.2,0.2,1.1,6.1
89,Vlatko Čančar,PF,DEN,0.8,1.8,1.2,0.3,0.3,0.0,0.3,2.1
90,Devin Cannady,PG,ORL,1.4,3.5,0.6,0.1,0.6,0.1,0.3,4.3
91,Clint Capela,C,ATL,6.6,11.0,14.3,0.8,0.7,2.0,1.2,15.2
92,Vernon Carey Jr.,C,CHO,0.9,1.9,1.4,0.1,0.1,0.3,0.3,2.4
93,Jevon Carter,PG,PHO,1.6,3.7,1.5,1.2,0.5,0.2,0.3,4.1
94,Wendell Carter Jr.,C,CHI,4.0,7.9,7.8,2.2,0.6,0.8,1.5,10.9
94,Wendell Carter Jr.,C,ORL,4.6,9.3,8.8,1.6,0.8,0.8,1.3,11.7
95,Michael Carter-Williams,SG,ORL,3.4,8.7,4.5,4.2,0.8,0.5,2.2,8.8
96,Alex Caruso,PG,LAL,2.3,5.3,2.9,2.8,1.1,0.3,1.3,6.4
97,Willie Cauley-Stein,C,DAL,2.2,3.4,4.5,0.7,0.4,0.8,0.5,5.3
98,Chris Chiozza,PG,BRK,1.4,4.0,1.1,3.0,0.3,0.3,0.7,4.0
99,Marquese Chriss,PF,GSW,2.5,7.0,6.5,1.0,0.0,1.0,1.0,6.5
100,Gary Clark,PF-SF,ORL,1.1,3.7,3.2,0.9,0.3,0.2,0.5,3.4
100,Gary Clark,SF,DEN,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
100,Gary Clark,PF,PHI,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0
101,Brandon Clarke,PF,MEM,4.3,8.4,5.6,1.6,1.0,0.9,0.6,10.3
102,Jordan Clarkson,SG,UTA,6.7,15.8,4.0,2.5,0.9,0.1,1.7,18.4
103,Nicolas Claxton,C,BRK,2.8,4.5,5.2,0.9,0.7,1.3,0.6,6.6
104,Amir Coffey,SG,LAC,1.0,2.3,1.0,0.5,0.2,0.0,0.3,3.2
105,John Collins,PF,ATL,6.8,12.2,7.4,1.2,0.5,1.0,1.3,17.6
106,Mike Conley,PG,UTA,5.6,12.5,3.5,6.0,1.4,0.2,1.9,16.2
107,Pat Connaughton,SG,MIL,2.4,5.6,4.8,1.2,0.7,0.3,0.5,6.8
108,Quinn Cook,PG,LAL,0.8,1.6,0.3,0.3,0.1,0.1,0.2,2.1
