Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
236,De'Andre Hunter,SF,ATL,5.2,10.8,4.8,1.9,0.8,0.5,1.3,15.0
237,Chandler Hutchison,SF,CHI,0.7,2.6,2.9,0.6,0.1,0.0,0.7,1.9
237,Chandler Hutchison,SF,WAS,1.9,4.7,3.2,0.7,0.6,0.3,0.8,5.2
238,Serge Ibaka,C,LAC,4.5,8.9,6.7,1.8,0.2,1.1,1.1,11.1
239,Andre Iguodala,SF,MIA,1.5,3.9,3.5,2.3,0.9,0.6,1.1,4.4
240,Ersan İlyasova,PF,UTA,1.2,3.2,1.7,0.2,0.6,0.2,0.5,3.8
241,Joe Ingles,SF,UTA,4.1,8.4,3.6,4.7,0.7,0.2,1.7,12.1
242,Brandon Ingram,SF,NOP,8.4,18.0,4.9,4.9,0.7,0.6,2.5,23.8
243,Kyrie Irving,PG,BRK,0.8,2.5,2.2,0.4,0.4,0.1,0.5,2.4
244,Wesley Iwundu,SF,DAL,0.7,2.3,1.9,0.4,0.4,0.1,0.3,2.1
244,Wesley Iwundu,SF,NOP,0.9,2.8,2.6,0.4,0.3,0.1,0.7,2.8
245,Frank Jackson,PG,DET,3.4,7.3,2.2,0.9,0.4,0.0,0.9,9.8
246,Jaren Jackson Jr.,C,MEM,4.8,11.4,5.6,1.1,1.1,1.6,1.4,14.4
247,Josh Jackson,SG,DET,4.8,11.4,4.1,2.3,0.9,0.8,2.3,13.4
248,Justin Jackson,SF,OKC,2.6,6.4,2.2,1.5,0.5,0.1,0.9,7.2
248,Justin Jackson,SF,MIL,3.0,9.0,6.0,1.0,0.0,0.0,1.0,9.0
249,Reggie Jackson,SG,LAC,3.9,8.7,2.9,3.1,0.6,0.1,1.1,10.7
250,Justin James,SF,SAC,1.4,3.1,0.8,0.6,0.2,0.1,0.4,3.9
251,LeBron James,PG,LAL,9.4,18.3,7.7,7.8,1.1,0.6,3.7,25.0
252,Mike James,PG,BRK,2.6,7.1,2.5,4.2,0.5,0.1,1.5,7.7
253,DaQuan Jeffries,SG,SAC,1.3,3.2,1.6,0.3,0.4,0.2,0.4,3.5
253,DaQuan Jeffries,SG,HOU,2.0,4.8,3.2,1.2,0.6,0.5,0.5,4.9
254,Ty Jerome,SG,OKC,3.9,8.7,2.8,3.6,0.6,0.2,1.4,10.7
255,Isaiah Joe,SG,PHI,1.2,3.2,0.9,0.5,0.3,0.1,0.3,3.7
256,Alize Johnson,PF,BRK,2.2,3.8,5.0,0.8,0.3,0.3,0.5,5.2
257,Cameron Johnson,PF,PHO,3.4,8.1,3.3,1.4,0.6,0.3,0.7,9.6
258,James Johnson,PF,DAL,2.3,5.0,3.0,1.7,0.8,0.8,0.9,5.7
258,James Johnson,PF,NOP,3.6,8.3,4.1,2.2,0.8,0.9,1.3,9.2
259,Keldon Johnson,SF,SAS,4.9,10.2,6.0,1.8,0.6,0.3,1.1,12.8
260,Stanley Johnson,PF,TOR,1.5,3.8,2.5,1.5,0.9,0.3,0.9,4.4
261,Tyler Johnson,SG,BRK,1.8,4.7,2.0,1.2,0.4,0.0,0.4,5.4
262,Nikola Jokić,C,DEN,1.8,2.6,3.1,0.7,0.3,0.7,0.7,4.7
263,Damian Jones,C,PHO,0.6,1.1,1.3,0.3,0.1,0.4,0.4,1.6
263,Damian Jones,C,LAL,2.0,2.1,3.3,0.1,0.1,0.9,0.6,5.4
263,Damian Jones,C,SAC,2.7,4.1,4.5,1.4,0.5,1.0,0.9,6.9
264,Derrick Jones Jr.,SF,POR,2.5,5.2,3.5,0.8,0.6,0.9,0.6,6.8
265,Mason Jones,SG,HOU,1.8,4.4,2.0,1.5,0.2,0.0,1.1,5.8
265,Mason Jones,SG,PHI,0.8,1.5,0.7,0.5,0.2,0.0,0.2,2.7
266,Tre Jones,PG,SAS,1.0,2.1,0.6,1.1,0.2,0.0,0.4,2.5
267,Tyus Jones,PG,MEM,2.5,5.9,2.0,3.7,0.9,0.1,0.7,6.3
268,DeAndre Jordan,C,BRK,3.3,4.4,7.5,1.6,0.3,1.1,1.5,7.5
269,Cory Joseph,PG,SAC,2.5,5.7,2.3,2.5,0.9,0.2,1.0,6.6
269,Cory Joseph,PG,DET,4.7,9.3,3.2,5.5,1.2,0.5,1.8,12.0
270,Mfiondu Kabengele,PF,LAC,0.4,1.4,0.6,0.2,0.1,0.1,0.3,1.2
270,Mfiondu Kabengele,PF,CLE,1.5,3.6,2.9,0.8,0.4,0.6,0.6,4.3
271,Frank Kaminsky,C,PHO,2.6,5.5,4.0,1.7,0.3,0.4,0.5,6.6
272,Enes Kanter,C,POR,4.7,7.8,11.0,1.2,0.5,0.7,1.1,11.2
273,Luke Kennard,SG,LAC,3.1,6.6,2.6,1.7,0.4,0.1,0.8,8.3
274,Louis King,SF,SAC,2.8,5.7,3.0,1.5,1.2,0.5,0.7,7.3
275,Maxi Kleber,PF,DAL,2.3,5.5,5.2,1.4,0.5,0.7,0.6,7.1
276,Nathan Knight,PF,ATL,1.1,3.0,2.2,0.2,0.3,0.3,0.5,3.8
277,Kevin Knox,SF,NYK,1.3,3.4,1.5,0.5,0.3,0.1,0.4,3.9
278,John Konchar,SG,MEM,1.6,3.2,3.0,1.1,0.7,0.2,0.4,4.3
279,Furkan Korkmaz,SG,PHI,3.1,7.7,2.1,1.5,0.9,0.2,0.8,9.1
280,Luke Kornet,C-PF,CHI,0.7,2.1,1.2,0.3,0.2,0.5,0.1,2.0
280,Luke Kornet,C,BOS,1.9,4.1,2.9,1.1,0.1,1.4,0.3,4.4
281,Rodions Kurucs,SF-PF,BRK,0.2,0.6,0.6,0.4,0.0,0.0,0.0,0.6
281,Rodions Kurucs,SF,HOU,0.5,1.9,1.0,0.4,0.5,0.4,0.8,1.2
281,Rodions Kurucs,SF,MIL,1.0,1.6,1.8,0.8,0.6,0.0,0.8,3.0
282,Kyle Kuzma,SF,LAL,4.9,11.1,6.1,1.9,0.5,0.6,1.7,12.9
283,Anthony Lamb,SF,HOU,1.9,4.9,2.9,1.0,0.3,0.2,0.8,5.5
284,Jeremy Lamb,SG,IND,3.3,7.7,3.6,1.5,0.9,0.6,0.6,10.1
285,Romeo Langford,SG,BOS,1.2,3.3,1.9,0.7,0.3,0.3,0.6,3.1
286,Zach LaVine,SG,CHI,9.8,19.4,5.0,4.9,0.8,0.5,3.5,27.4
287,Jake Layman,SF,MIN,2.0,4.1,1.5,0.6,0.6,0.4,0.6,5.1
288,T.J. Leaf,PF,POR,0.7,1.4,0.7,0.1,0.3,0.1,0.3,1.7
289,Jalen Lecque,PG,IND,0.3,2.3,1.3,0.5,0.0,0.0,0.0,1.3
290,Damion Lee,SG,GSW,2.2,4.8,3.2,1.3,0.7,0.1,0.5,6.5
291,Saben Lee,PG,DET,2.1,4.4,2.0,3.6,0.7,0.3,1.1,5.6
292,Alex Len,C,TOR,0.7,1.4,1.6,0.4,0.1,0.9,1.1,2.3
292,Alex Len,C,WAS,2.9,4.7,4.4,0.8,0.3,1.0,0.8,7.1
293,Kawhi Leonard,SF,LAC,8.9,17.5,6.5,5.2,1.6,0.4,2.0,24.8
294,Meyers Leonard,C,MIA,1.0,2.3,2.3,0.7,0.0,0.0,0.7,3.3
295,Caris LeVert,SG,BRK,7.3,16.7,4.3,6.0,1.1,0.5,2.2,18.5
295,Caris LeVert,SG,IND,7.8,17.5,4.6,4.9,1.5,0.7,2.2,20.7
296,Kira Lewis Jr.,PG,NOP,2.4,6.2,1.3,2.3,0.7,0.2,0.6,6.4
297,Damian Lillard,PG,POR,9.0,19.9,4.2,7.5,0.9,0.3,3.0,28.8
298,Nassir Little,PF,POR,1.6,3.5,2.7,0.5,0.1,0.3,0.4,4.6
299,Kevon Looney,C,GSW,1.8,3.2,5.3,2.0,0.3,0.4,0.6,4.1
300,Brook Lopez,C,MIL,4.6,9.1,5.0,0.7,0.6,1.5,0.9,12.3
301,Robin Lopez,C,WAS,3.8,6.0,3.8,0.8,0.2,0.6,1.1,9.0
302,Didi Louzada,SF,NOP,1.0,4.3,1.0,1.0,0.7,0.0,1.0,2.7
303,Kevin Love,PF,CLE,4.1,10.1,7.4,2.5,0.6,0.1,1.5,12.2
304,Kyle Lowry,PG,TOR,5.7,13.0,5.4,7.3,1.0,0.3,2.7,17.2
305,Timothé Luwawu-Cabarrot,SF,BRK,2.2,6.1,2.2,1.2,0.6,0.1,0.7,6.4
306,Trey Lyles,PF,SAS,1.9,3.9,3.7,0.6,0.3,0.0,0.3,5.0
307,Will Magnay,C,NOP,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
308,Thon Maker,C,CLE,1.3,2.3,2.3,0.5,0.3,0.5,0.4,3.8
309,Théo Maledon,PG,OKC,3.5,9.4,3.2,3.5,0.9,0.2,2.2,10.1
310,Karim Mané,PG,ORL,0.3,1.3,1.4,0.4,0.0,0.2,0.3,1.1
311,Terance Mann,SG,LAC,2.7,5.2,3.6,1.6,0.4,0.2,0.6,7.0
312,Nico Mannion,PG,GSW,1.3,3.8,1.5,2.3,0.5,0.0,1.0,4.1
313,Boban Marjanović,C,DAL,1.9,3.7,3.9,0.3,0.1,0.2,0.4,4.7
314,Lauri Markkanen,PF,CHI,4.9,10.2,5.3,0.9,0.5,0.3,1.0,13.6
315,Naji Marshall,SF,NOP,2.6,6.5,4.6,2.8,0.8,0.3,1.2,7.7
316,Caleb Martin,SF,CHO,1.8,4.8,2.7,1.3,0.7,0.2,0.6,5.0
317,Cody Martin,SF,CHO,1.6,3.6,3.1,1.7,0.7,0.2,0.8,4.0
318,Jeremiah Martin,PG,CLE,1.0,3.7,0.8,0.4,0.6,0.2,0.7,2.4
319,Kelan Martin,SF,IND,1.8,3.9,2.2,0.5,0.3,0.3,0.5,4.5
320,Kenyon Martin Jr.,SF,HOU,3.6,7.1,5.4,1.1,0.7,0.9,0.8,9.3
321,Frank Mason III,PG,ORL,2.3,6.0,3.0,3.0,0.0,0.0,1.3,6.3
322,Garrison Mathews,SG,WAS,1.5,3.7,1.4,0.4,0.5,0.1,0.2,5.5
323,Dakota Mathias,SG,PHI,2.4,6.0,0.9,1.6,0.1,0.4,0.1,6.0
324,Wesley Matthews,SG,LAL,1.5,4.3,1.6,0.9,0.7,0.3,0.4,4.8
325,Tyrese Maxey,SG,PHI,3.2,7.0,1.7,2.0,0.4,0.2,0.7,8.0
326,Skylar Mays,SG,ATL,1.3,3.0,1.1,0.9,0.4,0.1,0.3,3.8
327,Patrick McCaw,SF,TOR,0.2,0.2,0.6,0.8,0.4,0.0,0.0,1.0
328,CJ McCollum,SG,POR,8.6,18.8,3.9,4.7,0.9,0.4,1.4,23.1
329,T.J. McConnell,PG,IND,4.0,7.1,3.7,6.6,1.9,0.3,2.0,8.6
330,Jaden McDaniels,PF,MIN,2.6,5.8,3.7,1.1,0.6,1.0,0.7,6.8
331,Jalen McDaniels,SF,CHO,2.8,6.0,3.6,1.1,0.6,0.4,1.0,7.4
332,Doug McDermott,PF,IND,5.4,10.1,3.3,1.3,0.3,0.1,0.8,13.6
333,Sean McDermott,SF,MEM,0.7,1.8,1.1,0.2,0.1,0.2,0.2,2.2
334,JaVale McGee,C,CLE,3.4,6.5,5.2,1.0,0.5,1.2,1.4,8.0
334,JaVale McGee,C,DEN,2.5,5.2,5.3,0.5,0.2,1.1,1.2,5.5
335,Rodney McGruder,SG,DET,2.3,4.4,1.4,1.0,0.5,0.1,0.4,5.7
336,Alfonzo McKinnie,SF,LAL,1.2,2.4,1.4,0.2,0.2,0.0,0.1,3.1
337,Jordan McLaughlin,PG,MIN,2.0,4.7,2.1,3.8,1.0,0.1,1.0,5.0
338,Ben McLemore,SG,HOU,2.5,7.0,2.1,0.9,0.6,0.1,0.9,7.4
338,Ben McLemore,SG,LAL,2.6,6.7,1.6,0.5,0.1,0.3,0.7,8.0
339,Nicolò Melli,PF,NOP,0.7,2.7,2.6,1.1,0.4,0.0,0.3,2.0
339,Nicolò Melli,PF,DAL,1.3,3.6,2.8,0.8,0.2,0.1,0.2,4.0
340,De'Anthony Melton,PG,MEM,3.3,7.6,3.1,2.5,1.2,0.6,1.3,9.1
341,Sam Merrill,SG,MIL,1.1,2.4,1.0,0.7,0.3,0.0,0.3,3.0
342,Chimezie Metu,C,SAC,2.5,5.0,3.1,0.8,0.4,0.5,0.8,6.3
343,Khris Middleton,SF,MIL,7.5,15.8,6.0,5.4,1.1,0.1,2.6,20.4
344,Darius Miller,SF,OKC,1.2,2.7,1.3,1.2,0.7,0.3,0.4,4.1
345,Patty Mills,PG,SAS,3.7,9.0,1.7,2.4,0.6,0.0,1.0,10.8
346,Paul Millsap,PF,DEN,3.4,7.2,4.7,1.8,0.9,0.6,0.9,9.0
347,Shake Milton,SG,PHI,4.8,10.6,2.3,3.1,0.6,0.3,1.6,13.0
348,Donovan Mitchell,PG,UTA,9.0,20.6,4.4,5.2,1.0,0.3,2.8,26.4
349,Adam Mokoka,SG,CHI,0.5,1.4,0.4,0.4,0.1,0.1,0.4,1.1
350,Malik Monk,SG,CHO,4.1,9.5,2.4,2.1,0.5,0.1,1.3,11.7
351,E'Twaun Moore,SG,PHO,2.0,4.5,1.7,1.5,0.6,0.2,0.9,4.9
352,Ja Morant,PG,MEM,6.8,15.2,4.0,7.4,0.9,0.2,3.2,19.1
353,Juwan Morgan,PF,UTA,0.5,1.0,1.0,0.3,0.1,0.0,0.1,1.2
354,Marcus Morris,PF,LAC,4.8,10.2,4.1,1.0,0.6,0.3,1.0,13.4
355,Markieff Morris,PF,LAL,2.5,6.2,4.4,1.2,0.4,0.3,0.9,6.7
356,Monte Morris,PG,DEN,4.0,8.2,2.0,3.2,0.7,0.3,0.7,10.2
357,Mychal Mulder,PG,GSW,2.0,4.4,1.0,0.4,0.2,0.2,0.3,5.6
358,Dejounte Murray,PG,SAS,6.6,14.5,7.1,5.4,1.5,0.1,1.7,15.7
359,Jamal Murray,PG,DEN,7.9,16.5,4.0,4.8,1.3,0.3,2.3,21.2
360,Mike Muscala,C,OKC,3.4,7.6,3.8,0.8,0.2,0.3,0.6,9.7
361,Svi Mykhailiuk,SF-SG,DET,2.3,6.2,2.1,1.6,0.8,0.2,1.1,6.9
361,Svi Mykhailiuk,SG,OKC,4.1,9.4,3.0,1.8,0.8,0.2,1.6,10.3
362,Abdel Nader,SF,PHO,2.4,4.8,2.6,0.8,0.4,0.4,0.8,6.7
363,Larry Nance Jr.,PF,CLE,3.7,7.8,6.7,3.1,1.7,0.5,1.6,9.3
364,Aaron Nesmith,SF,BOS,1.7,3.9,2.8,0.5,0.3,0.2,0.5,4.7
365,Raul Neto,PG,WAS,3.3,7.0,2.4,2.3,1.1,0.1,0.8,8.7
366,Georges Niang,PF,UTA,2.5,5.6,2.4,0.8,0.3,0.1,0.7,6.9
367,Zeke Nnaji,PF,DEN,1.2,2.5,1.5,0.2,0.2,0.1,0.2,3.2
368,Nerlens Noel,C,NYK,2.1,3.5,6.4,0.7,1.1,2.2,1.0,5.1
369,Jaylen Nowell,SG,MIN,3.4,8.0,2.3,1.5,0.5,0.3,0.7,9.0
370,Frank Ntilikina,PG,NYK,0.9,2.4,0.9,0.6,0.5,0.1,0.3,2.7
371,Kendrick Nunn,PG,MIA,5.7,11.8,3.2,2.6,0.9,0.3,1.4,14.6
372,James Nunnally,SF,NOP,0.6,1.4,1.0,0.3,0.0,0.0,0.2,1.7
373,Jusuf Nurkić,C,POR,4.6,9.0,9.0,3.4,1.0,1.1,2.0,11.5
374,David Nwaba,SF,HOU,3.5,7.3,3.9,1.0,1.0,0.7,0.6,9.2
375,Jordan Nwora,SF,MIL,2.1,4.5,2.0,0.2,0.5,0.2,0.8,5.7
376,Royce O'Neale,SF,UTA,2.5,5.5,6.8,2.5,0.8,0.5,1.2,7.0
377,Semi Ojeleye,PF,BOS,1.6,3.9,2.6,0.7,0.3,0.0,0.4,4.6
378,Jahlil Okafor,C,DET,2.3,3.8,2.4,0.5,0.2,0.2,0.8,5.4
379,Chuma Okeke,PF,ORL,3.0,7.2,4.0,2.2,1.1,0.5,0.8,7.8
380,Josh Okogie,SG,MIN,1.7,4.3,2.6,1.1,0.9,0.5,0.7,5.4
381,Onyeka Okongwu,C,ATL,1.9,3.0,3.3,0.4,0.5,0.7,0.6,4.6
382,Isaac Okoro,SG,CLE,3.5,8.3,3.1,1.9,0.9,0.4,1.3,9.6
383,KZ Okpala,PF,MIA,1.0,2.6,1.8,0.5,0.3,0.3,0.4,2.5
384,Victor Oladipo,SG,IND,7.1,16.9,5.7,4.2,1.7,0.2,2.0,20.0
384,Victor Oladipo,SG,HOU,7.8,19.1,4.8,5.0,1.2,0.5,2.6,21.2
384,Victor Oladipo,SG,MIA,4.0,10.8,3.5,3.5,1.8,0.5,3.5,12.0
385,Cameron Oliver,SF,HOU,4.8,8.3,5.3,1.3,0.5,1.0,0.8,10.8
386,Kelly Olynyk,C-PF,MIA,3.8,8.7,6.1,2.1,0.9,0.6,1.3,10.0
386,Kelly Olynyk,PF,HOU,6.5,11.9,8.4,4.1,1.4,0.6,2.6,19.0
387,Miye Oni,SG,UTA,0.6,1.8,1.6,0.5,0.2,0.1,0.3,1.9
388,Cedi Osman,SF,CLE,3.7,9.9,3.4,2.9,0.9,0.2,1.4,10.4
389,Daniel Oturu,C,LAC,0.7,1.7,1.6,0.3,0.1,0.2,0.3,1.8
390,Kelly Oubre Jr.,SF,GSW,5.8,13.2,6.0,1.3,1.0,0.8,1.3,15.4
391,Jabari Parker,PF,SAC,1.3,2.3,2.0,0.3,0.0,0.3,1.0,2.7
391,Jabari Parker,PF,BOS,2.6,4.8,3.6,1.0,0.1,0.4,0.7,6.4
392,Eric Paschall,PF,GSW,3.7,7.5,3.2,1.3,0.3,0.2,1.1,9.5
393,Anžejs Pasečņiks,C,WAS,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0
394,Patrick Patterson,PF,LAC,1.9,4.3,2.0,0.8,0.4,0.2,0.3,5.2
395,Justin Patton,C,HOU,2.2,5.4,3.8,1.1,0.9,1.1,0.3,5.4
396,Chris Paul,PG,PHO,6.3,12.6,4.5,8.9,1.4,0.3,2.2,16.4
397,Cameron Payne,PG,PHO,3.2,6.6,2.4,3.6,0.6,0.3,1.0,8.4
398,Elfrid Payton,PG,NYK,4.3,9.9,3.4,3.2,0.7,0.1,1.6,10.1
399,Gary Payton II,PG,GSW,1.0,1.3,1.1,0.1,0.6,0.1,0.1,2.5
400,Norvel Pelle,C,BRK,1.0,2.3,2.3,0.0,0.0,1.0,1.0,2.0
400,Norvel Pelle,C,SAC,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
400,Norvel Pelle,C,NYK,0.6,0.8,1.2,0.1,0.1,0.7,0.0,1.2
401,Reggie Perry,PF,BRK,1.2,3.0,2.8,0.5,0.2,0.2,0.6,3.0
402,Theo Pinson,SG,NYK,0.1,0.5,0.3,0.1,0.0,0.0,0.1,0.1
403,Mason Plumlee,C,DET,4.2,6.8,9.3,3.6,0.8,0.9,1.9,10.4
404,Jakob Poeltl,C,SAS,3.8,6.2,7.9,1.9,0.7,1.8,1.2,8.6
405,Vincent Poirier,C,PHI,0.3,1.2,1.4,0.2,0.0,0.3,0.4,0.8
406,Aleksej Pokusevski,PF,OKC,3.1,9.1,4.7,2.2,0.4,0.9,2.2,8.2
407,Jordan Poole,SG,GSW,4.0,9.3,1.8,1.9,0.5,0.2,1.0,12.0
408,Jontay Porter,PF,MEM,0.7,1.4,1.3,0.1,0.3,0.1,0.6,2.0
409,Kevin Porter Jr.,SG,HOU,6.0,14.1,3.8,6.3,0.7,0.3,3.5,16.6
410,Michael Porter Jr.,SF,DEN,7.3,13.4,7.3,1.1,0.7,0.9,1.3,19.0
411,Otto Porter,SF-PF,CHI,3.6,8.1,5.5,2.0,0.5,0.2,1.0,9.9
411,Otto Porter,PF,ORL,3.0,8.3,4.7,1.7,1.3,0.0,0.0,8.0
412,Bobby Portis,C,MIL,4.7,9.1,7.1,1.1,0.8,0.4,0.8,11.4
413,Kristaps Porziņģis,C,DAL,7.6,15.9,8.9,1.6,0.5,1.3,1.2,20.1
414,Dwight Powell,C,DAL,2.1,3.3,4.0,1.1,0.6,0.5,0.7,5.9
415,Norman Powell,SG-SF,TOR,6.7,13.5,3.0,1.8,1.1,0.2,1.8,19.6
415,Norman Powell,SF,POR,5.8,13.0,3.3,1.9,1.3,0.4,1.6,17.0
416,Taurean Prince,PF,BRK,2.5,6.2,2.8,0.6,0.7,0.7,0.9,8.1
416,Taurean Prince,PF,CLE,3.5,8.7,3.7,2.4,0.7,0.5,1.2,10.1
417,Payton Pritchard,SG,BOS,2.8,6.3,2.4,1.8,0.6,0.1,0.8,7.7
418,Immanuel Quickley,PG,NYK,3.6,9.1,2.1,2.0,0.5,0.2,0.9,11.4
419,Jahmi'us Ramsey,SG,SAC,1.2,2.9,0.8,0.5,0.3,0.1,0.2,3.1
420,Chasson Randle,PG,ORL,2.2,5.8,2.0,1.8,0.5,0.1,1.1,6.5
421,Julius Randle,PF,NYK,8.5,18.6,10.2,6.0,0.9,0.3,3.4,24.1
422,Cam Reddish,SF,ATL,3.7,10.1,4.0,1.3,1.3,0.3,1.3,11.2
423,J.J. Redick,SG,NOP,2.8,6.9,1.7,1.3,0.3,0.1,0.8,8.7
423,J.J. Redick,SG,DAL,1.5,4.1,0.9,0.8,0.2,0.1,0.8,4.4
424,Paul Reed,PF,PHI,1.6,3.0,2.3,0.5,0.4,0.5,0.5,3.4
425,Naz Reid,C,MIN,4.3,8.3,4.6,1.0,0.5,1.1,1.0,11.2
426,Cameron Reynolds,SF,SAS,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.7
426,Cameron Reynolds,SF,HOU,2.5,8.0,2.5,1.0,0.0,0.0,0.0,6.5
427,Nick Richards,PF,CHO,0.2,0.5,0.6,0.1,0.0,0.0,0.2,0.8
428,Josh Richardson,SG,DAL,4.5,10.5,3.3,2.6,1.0,0.4,1.3,12.1
429,Grant Riller,PG,CHO,1.1,1.7,0.1,0.4,0.1,0.0,0.1,2.6
430,Austin Rivers,SG,NYK,2.8,6.4,2.2,2.0,0.6,0.0,1.0,7.3
430,Austin Rivers,SG,DEN,3.1,7.3,2.3,2.6,1.2,0.1,0.9,8.7
431,Andre Roberson,SG,BRK,0.4,2.8,3.0,0.8,0.6,0.2,0.4,1.2
432,Duncan Robinson,SF,MIA,4.4,10.0,3.5,1.8,0.6,0.3,1.1,13.1
433,Glenn Robinson III,SF,SAC,1.8,4.3,2.0,0.9,0.2,0.1,0.5,5.3
434,Jerome Robinson,SG,WAS,1.6,5.6,2.2,1.5,0.7,0.4,1.1,4.9
435,Justin Robinson,PG,OKC,0.8,2.3,0.8,1.0,0.3,0.0,0.2,2.3
436,Mitchell Robinson,C,NYK,3.7,5.7,8.1,0.5,1.1,1.5,0.8,8.3
437,Isaiah Roby,PF,OKC,3.4,7.0,5.6,1.8,0.9,0.6,1.9,8.7
438,Rajon Rondo,PG,ATL,1.6,4.1,2.0,3.5,0.7,0.1,1.4,3.9
438,Rajon Rondo,PG,LAC,2.8,5.8,3.1,5.8,1.0,0.1,2.2,7.6
439,Derrick Rose,PG,DET,5.3,12.3,1.9,4.2,1.2,0.3,1.9,14.2
439,Derrick Rose,PG,NYK,5.9,12.2,2.9,4.2,0.9,0.4,1.4,14.9
440,Terrence Ross,SG,ORL,5.5,13.4,3.4,2.3,1.0,0.5,1.6,15.6
441,Terry Rozier,SG,CHO,7.4,16.4,4.4,4.2,1.3,0.4,1.9,20.4
442,Ricky Rubio,PG,MIN,2.8,7.3,3.3,6.4,1.4,0.1,1.6,8.6
443,D'Angelo Russell,PG,MIN,6.7,15.5,2.6,5.8,1.1,0.4,2.7,19.0
444,Domantas Sabonis,PF,IND,7.8,14.6,12.0,6.7,1.2,0.5,3.4,20.3
445,Luka Šamanić,PF,SAS,1.4,3.2,2.1,0.5,0.2,0.2,0.6,3.7
446,JaKarr Sampson,PF,IND,1.9,3.9,2.7,0.1,0.1,0.5,0.5,4.6
447,Dario Šarić,C,PHO,3.1,6.8,3.8,1.3,0.6,0.1,1.1,8.7
448,Tomáš Satoranský,SG,CHI,2.9,5.7,2.4,4.7,0.7,0.2,1.7,7.7
449,Dennis Schröder,SG,LAL,5.4,12.5,3.5,5.8,1.1,0.2,2.7,15.4
450,Mike Scott,PF,PHI,1.5,4.1,2.4,0.8,0.5,0.3,0.4,4.2
451,Jay Scrubb,SG,LAC,3.5,9.0,3.5,0.3,1.0,0.0,1.8,8.8
452,Collin Sexton,SG,CLE,8.8,18.4,3.1,4.4,1.0,0.2,2.8,24.3
453,Landry Shamet,SG,BRK,3.0,7.5,1.8,1.6,0.5,0.2,0.8,9.3
454,Iman Shumpert,SG,BRK,0.5,2.0,0.5,0.0,0.5,0.0,0.5,1.0
455,Pascal Siakam,PF,TOR,7.8,17.2,7.2,4.5,1.1,0.7,2.3,21.4
456,Chris Silva,PF,MIA,0.8,1.2,2.3,0.5,0.1,0.5,0.8,2.7
456,Chris Silva,PF,SAC,0.3,0.8,0.5,0.0,0.0,0.3,0.3,0.5
457,Ben Simmons,PG,PHI,5.6,10.1,7.2,6.9,1.6,0.6,3.0,14.3
458,Anfernee Simons,SG,POR,2.6,6.3,2.2,1.4,0.3,0.1,0.7,7.8
459,Deividas Sirvydis,SG,DET,0.7,2.0,1.5,0.3,0.1,0.0,0.3,2.1
460,Alen Smailagić,PF,GSW,0.7,1.8,1.1,0.3,0.2,0.3,0.3,1.9
461,Marcus Smart,PG,BOS,4.2,10.6,3.5,5.7,1.5,0.5,2.0,13.1
462,Dennis Smith Jr.,PG,NYK,0.7,3.3,0.7,1.0,1.0,0.0,0.3,3.0
462,Dennis Smith Jr.,PG,DET,2.8,6.8,2.7,3.7,1.0,0.7,1.3,7.3
463,Ish Smith,PG,WAS,2.9,6.8,3.4,3.9,0.7,0.3,0.9,6.7
464,Jalen Smith,PF,PHO,0.8,1.9,1.4,0.1,0.0,0.2,0.3,2.0
465,Tony Snell,SG,ATL,1.9,3.6,2.4,1.3,0.3,0.2,0.4,5.3
466,Ray Spalding,C,HOU,1.0,2.0,2.0,0.0,0.0,1.0,1.5,2.0
467,Cassius Stanley,SG,IND,0.5,1.8,0.8,0.0,0.0,0.1,0.0,1.5
468,Lamar Stevens,PF,CLE,1.6,3.4,2.4,0.6,0.4,0.3,0.6,4.1
469,Isaiah Stewart,C,DET,3.3,6.0,6.7,0.9,0.6,1.3,1.0,7.9
470,Max Strus,SF,MIA,2.2,4.8,1.1,0.6,0.3,0.1,0.2,6.1
471,Edmond Sumner,SG,IND,2.8,5.3,1.8,0.9,0.6,0.2,1.0,7.5
472,Jae'Sean Tate,SF,HOU,4.5,8.9,5.3,2.5,1.2,0.5,1.4,11.3
473,Jayson Tatum,SF,BOS,9.5,20.6,7.4,4.3,1.2,0.5,2.7,26.4
474,Jeff Teague,PG,BOS,2.3,5.5,1.7,2.1,0.8,0.2,1.1,6.9
474,Jeff Teague,PG,MIL,2.1,4.6,1.5,2.8,0.4,0.2,1.2,6.6
475,Garrett Temple,SG,CHI,2.8,6.8,2.9,2.2,0.8,0.5,1.0,7.6
476,Tyrell Terry,PG,DAL,0.5,1.5,0.5,0.5,0.5,0.0,0.2,1.0
477,Daniel Theis,C,BOS,3.8,6.9,5.2,1.6,0.6,1.0,1.0,9.5
477,Daniel Theis,C,CHI,4.0,7.7,5.9,1.8,0.7,0.6,1.1,10.0
478,Brodric Thomas,SG,HOU,0.5,1.8,1.0,1.0,0.3,0.3,1.0,2.5
478,Brodric Thomas,SG,CLE,1.3,3.6,1.8,0.9,0.5,0.3,0.6,4.1
